[Executing file /usr/local/automate/scripts/operational/hub_dialog_versions.groovy on platform 'CMS-0' as user 'hno']
[Filter mode is enabled, only hubmodules matching JAV* will be used. Experimental!]
KAC_JAV-1 KAC_JAV-1.ENC-1 10.50.10.180
+------------+--------------+---------------------------------------------------------------------------------------------------------------------+
| KAC_JAV-1  | PGIS2XCTL-8   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-9   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGITAS-10     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:37 UTC 2020               |
| KAC_JAV-1  | PGITAS-11     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:37 UTC 2020               |
| KAC_JAV-1  | PGITAS-12     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:39 UTC 2020               |
| KAC_JAV-1  | PGITAS-13     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:40 UTC 2020               |
| KAC_JAV-1  | PGITAS-14     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:40 UTC 2020               |
| KAC_JAV-1  | PGITAS-8      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGITAS-9      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:40 UTC 2020               |
| KAC_JAV-1  | REDCTL-1-1    |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:59 UTC 2020               |
| KAC_JAV-1  | REDCTL-1-2    |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:56 UTC 2020               |
| KAC_JAV-1  | TCS-10-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:58 UTC 2020               |
| KAC_JAV-1  | TCS-10-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:59 UTC 2020               |
| KAC_JAV-1  | TCS-11-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:02:00 UTC 2020               |
| KAC_JAV-1  | TCS-11-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:02:01 UTC 2020               |
| KAC_JAV-1  | TCS-12-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:59 UTC 2020               |
| KAC_JAV-1  | TCS-12-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:58 UTC 2020               |
| KAC_JAV-1  | TCS-13-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:02:00 UTC 2020               |
| KAC_JAV-1  | TCS-13-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:02:00 UTC 2020               |
| KAC_JAV-1  | TCS-8-1       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:59 UTC 2020               |
| KAC_JAV-1  | TCS-8-2       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:59 UTC 2020               |
| KAC_JAV-1  | TCS-9-1       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:59 UTC 2020               |
