time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,hub module,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower
2020-07-02T00:19:06,RT_JAV1-2-Fakfak2,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:85:b2,1,Beam-JAV-1,JAV-1-SN-1,Petro1_SVNO,KAC_JAV-2,1,20075000000,214285700,18v,68.4,17150000000,18050000000,27600000000,51.59999847,21.20038722,14,674731,9.800000191,-32.29999924
2020-07-02T00:19:06,EXCITE_HP1_KVG5_Woodman_Timber_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f1:af,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,48.40000153,18.87159533,21,8180499,13.5,-31.5
2020-07-02T00:19:06,GVT-02581,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:29:5b,9,Beam-BHI-39,BHI-39-SN1,GravityNZ_SVNO,KAC_BHI-1,39,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,48.20000076,19.26070039,21,47894960,13,-26.10000038
2020-07-02T00:19:06,POC-BHI-28-24,Newtec MDM2510 modem. Software version: 4.3.0.7. Hardware identifier: NTC/2499.AA,00:06:39:8c:09:1e,8,Beam-BHI-24,BHI-24-SN1,OurTelecom_SVNO,KAC_BHI-1,24,19825000000,214285700,18v,68.4,17150000000,18050000000,27600000000,48.20000076,19.07066796,20,74075480,12.60000038,-29.5
2020-07-02T00:19:07,EXCITE_HP1_RAB57_OpenBayTimbr_Lussul_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:05:9e,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,46.40000153,20.25193798,24,51208592,14.60000038,-33.29999924
2020-07-02T00:19:06,Gardamor-BHI-9-21,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f7:74,15,Beam-BHI-21,BHI-21-SN1,Gardamor_SVNO,KAC_BHI-2,21,19825000000,214285700,18v,68.4,17150000000,18050000000,27600000000,47.20000076,23.21083172,21,134584992,13.80000019,-27.60000038
2020-07-02T00:19:06,EXCITE_HP1_RAB9_PacificLamaTrading_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:eb,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,48.59999847,20.19417476,19,293044832,11.60000038,-34.29999924
2020-07-02T00:19:06,GVT-02575,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:01:ae,9,Beam-BHI-39,BHI-39-SN1,GravityNZ_SVNO,KAC_BHI-1,39,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,35.79999924,26.28019324,22,59572876,15.39999962,-18.70000076
2020-07-02T00:19:06,EXCITE_HP1_MDG3_SupremeInvestments_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f2:42,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,40,18.34951456,20,858807,12.80000019,-28.79999924
2020-07-02T00:19:06,GVT-02580,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:1f:05,9,Beam-BHI-39,BHI-39-SN1,GravityNZ_SVNO,KAC_BHI-1,39,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,38.40000153,16.91542289,22,180236448,15,-21.70000076
